iteration,curr policy return,max return,median return,min return,avg return,std return,avg rollout len,num total samples,min mag policy param,max mag policy param,min expl strat std,avg expl strat std,max expl strat std,expl strat entropy
101,1325.1695,1325.1695,1056.7265,56.7906,746.2782,489.8131,605.0,5269578,0.056087836623191833,-6.6516313552856445,0.4422000050544739,0.48249998688697815,0.5026999711990356,-35.048099517822266
102,1296.2701,1396.7084,1153.9718,34.3912,832.7996,507.6776,673.2673,5337578,-0.0009064376354217529,-6.894824981689453,0.44119998812675476,0.4821999967098236,0.5023999810218811,-35.074100494384766
103,1357.2389,1357.2389,286.1571,43.7971,545.3612,490.0743,424.6139,5380464,-0.017270810902118683,-6.806884288787842,0.4408000111579895,0.4821000099182129,0.5024999976158142,-35.089900970458984
104,1215.9963,1347.8065,1121.5837,48.202,847.2655,461.3136,711.0396,5452279,-0.008378982543945312,-6.706092834472656,0.43959999084472656,0.4819999933242798,0.5027999877929688,-35.097198486328125
105,1331.955,1354.3417,661.9955,49.7739,712.3482,507.7149,570.8119,5509931,-0.008341185748577118,-6.6844801902771,0.43959999084472656,0.48179998993873596,0.5029000043869019,-35.12409973144531
106,1319.6708,1368.0997,740.1397,40.5633,668.2619,530.1175,540.4752,5564519,0.003354005515575409,-6.794978618621826,0.4392000138759613,0.4814000129699707,0.5030999779701233,-35.157501220703125
107,1268.7615,1327.2767,1090.5458,66.4651,775.0277,472.0338,631.8812,5628339,-0.01610637828707695,-6.852245807647705,0.4381999969482422,0.4814000129699707,0.5034000277519226,-35.165000915527344
108,1308.0962,1320.8851,1105.1602,35.2123,721.6254,519.7663,590.4059,5687970,0.042454563081264496,-6.869221210479736,0.43689998984336853,0.4812000095844269,0.5033000111579895,-35.183799743652344
109,1312.3996,1343.7242,525.1831,67.9471,686.3301,510.2136,550.5545,5743576,0.030919499695301056,-6.64634370803833,0.43619999289512634,0.4810999929904938,0.5037000179290771,-35.19670104980469
110,1311.3933,1383.0894,1030.2527,62.8557,731.4465,477.2138,602.3069,5804409,0.012147948145866394,-6.592416763305664,0.4359000027179718,0.48100000619888306,0.504800021648407,-35.20439910888672
111,1260.7241,1377.3174,1118.9064,86.3956,855.0657,444.1107,712.3564,5876357,-0.09121069312095642,-6.45157527923584,0.43560001254081726,0.48080000281333923,0.5041999816894531,-35.229000091552734
112,1324.0061,1324.0061,1106.8671,62.2115,792.2428,489.307,652.0693,5942216,0.009850427508354187,-6.541323184967041,0.43540000915527344,0.4805000126361847,0.5034000277519226,-35.25899887084961
113,1282.6766,1368.3845,1136.2955,71.2129,806.6973,487.618,648.4851,6007713,0.00862102210521698,-6.498448848724365,0.43459999561309814,0.4803999960422516,0.5023999810218811,-35.26620101928711
114,1292.5389,1377.2091,1155.5267,57.2191,877.4645,474.3615,712.198,6079645,-0.03699941188097,-6.481494426727295,0.43369999527931213,0.48030000925064087,0.5034000277519226,-35.28129959106445
115,1366.2136,1386.6607,657.2617,56.3332,711.6228,497.0294,569.9604,6137211,-0.02970525622367859,-6.267216682434082,0.43290001153945923,0.48019999265670776,0.5029000043869019,-35.295501708984375
116,1303.5924,1506.5099,1117.4015,68.1135,847.2599,475.7395,689.297,6206830,-0.012928985059261322,-6.559724807739258,0.43149998784065247,0.48010000586509705,0.503000020980835,-35.308101654052734
